Rank,Vehicle,Driver,Time,PS / KG
63,Corvette Z06 Z07 Package,Jim Mero,07:22.7,512 / 1450
64,Mercedes-Benz AMG GT 63 S,Demian Schaffert,07:23.0,639 / 2112
65,Porsche 911 Carrera GTS,Christian Gebhardt,07:23.8,450 / 1514
66,Gumpert Apollo Sport,unknown,07:24.0,700 / 1200
67,Porsche 911 GT2 RS (997),Horst von Saurma,07:24.0,620 / 1410
68,Nissan GT-R (R35 530 PS),Toshio Suzuki,07:24.2,530 / 1763
69,Maserati MC12,Marc Basseng,07:24.3,632 / 1382
70,Pagani Zonda F Clubsport,Marc Basseng,07:24.7,650 / 1230
71,KTM X-Bow R,Christopher Haase,07:25.0,304 / 862
72,Lamborghini Aventador LP700-4,Horst von Saurma,07:25.0,700 / 1778
73,Porsche 911 GT3 (991),Timo Kluck,07:25.0,476 / 1448
74,Porsche Panamera Turbo S,Lars Kern,07:25.0,630 / 2124
75,Ferrari Enzo,Marc Basseng,07:25.2,660 / 1452
76,Maserati MC20,Christian Gebhardt,07:25.3,630 / 1613
77,SLS AMG Black Series,Markus Hofbauer,07:25.7,631 / 1646
78,KTM X-BOW RR,unknown,07:25.7,365 / 810
79,Porsche 911 Turbo S (991),unknown,07:26.0,560 / 1592
80,Nissan GT-R (R35),Toshio Suzuki,07:26.7,480 / 1766
81,Porsche 911 GT3 RS 4.0 (997),unknown,07:27.0,500 / 1396
82,BMW M3 CS,Christian Gebhardt,07:27.2,551 / 1760
83,Ferrari 812 Superfast,Christian Gebhardt,07:27.5,800 / 1728
84,BMW M4 GTS,unknown,07:27.9,500 / 1607
85,Porsche 718 Cayman GT4 (982),unknown,07:28.0,420 / 1452
86,Lamborghini Huracán LP 610-4,Christian Gebhardt,07:28.0,610 / 1545
87,McLaren MP4-12C,Horst von Saurma,07:28.0,600 / 1458
88,Porsche 911 GT3 RS (991),Christian Gebhardt,07:28.0,500 / 1469
89,AMG GT 63 S E Performance,Christian Gebhardt,07:28.0,843 / 2364
90,BMW M4 Competition xDrive,Christian Gebhardt,07:28.6,517 / 1772
91,Porsche Carrera GT,Marc Basseng,07:28.7,612 / 1437
92,Porsche 911 Turbo (991),unknown,07:29.0,520 / 1615
93,BMW M5 CS,Christian Gebhardt,07:29.6,635 / 1851
94,Chevrolet Camaro ZL1 (Mk VI),unknown,07:29.6,659 / 1771
95,Chevrolet Corvette Stingray,Oliver Gavin,07:29.9,502 / 1646
96,Mercedes-Benz SLS AMG GT,unknown,07:30.0,591 / 1663
97,Porsche 911 Carrera S (992),Christian Gebhardt,07:30.0,450 / 1553
98,BMW M4 Competition Coupe,Christian Gebhardt,07:30.8,510 / 1725
99,Porsche 911 GT2 (997),Walter Rohrl,07:31.0,530 / 1483
100,Porsche 911 Turbo S,Walter Rohrl,07:32.0,530 / 1593
101,Audi R8 V10 Plus (Mk II),unknown,07:32.0,610 / 1642
102,Alfa Romeo Giulia QV,Fabio Francia﻿,07:32.0,510 / 1708
103,Porsche 718 Cayman GT4 (982),Christian Gebhardt,07:32.0,420 / 1452
104,Porsche 911 GT3 (991),unknown,07:32.2,476 / 1448
105,BMW M8 Competition (G15),Christian Gebhardt,07:32.8,625 / 1894
106,Pagani Zonda F,unknown,07:33.0,602 / 1371
107,Porsche 911 GT3 RS,unknown,07:33.0,450 / 1404
108,Ferrari F12 Berlinetta,Horst von Saurma,07:33.0,740 / 1751
109,Mercedes-Benz AMG GT S,Markus Hofbauer,07:33.0,510 / 1654
110,Koenigsegg CCX,Marc Basseng,07:33.6,806 / 1456
111,Porsche Cayenne Turbo GT,unknown,07:34.0,640 / 2247
112,Audi R8 GT (Mk I),Horst von Saurma,07:34.0,560 / 1563
113,Lexus LFA Nurburgring Package,Horst von Saurma,07:34.0,570 / 1509
114,Koenigsegg CCR,unknown,07:34.0,806 / 1394
115,Porsche 911 Carrera S,Christian Gebhardt,07:34.0,420 / 1492
116,Porsche 911 Turbo S (991),Horst von Saurma,07:34.0,560 / 1592
